,title,link,published,Category
20,"Les Soulèvements de la Terre, la loi Immigration, ""l'initiative ... - franceinfo",https://news.google.com/rss/articles/CBMi2AFodHRwczovL3d3dy5mcmFuY2V0dmluZm8uZnIvcmVwbGF5LXJhZGlvLzhoMzAtZmF1dmVsbGUtZGVseS9sZXMtc291bGV2ZW1lbnRzLWRlLWxhLXRlcnJlLWxhLWxvaS1pbW1pZ3JhdGlvbi1sLWluaXRpYXRpdmUtcG9saXRpcXVlLWQtYW1wbGV1ci12b3VsdWUtcGFyLWVtbWFudWVsLW1hY3Jvbi1sZS04aDMwLWZyYW5jZWluZm8tZC1hdXJlbGllbi10YWNoZV81OTU5MjIwLmh0bWzSAQA?oc=5,"Wed, 09 Aug 2023 11:04:12 GMT",politique
21,"Avec sa réforme judiciaire, Benyamin Nétanyahou consolide son ... - The Conversation",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vdGhlY29udmVyc2F0aW9uLmNvbS9hdmVjLXNhLXJlZm9ybWUtanVkaWNpYWlyZS1iZW55YW1pbi1uZXRhbnlhaG91LWNvbnNvbGlkZS1zb24taGVyaXRhZ2UtcG9saXRpcXVlLTIxMDY2N9IBAA?oc=5,"Tue, 08 Aug 2023 17:00:44 GMT",politique
22,"Exportations d'armement : « Les politiques publiques, jusqu'ici ... - Le Monde",https://news.google.com/rss/articles/CBMixwFodHRwczovL3d3dy5sZW1vbmRlLmZyL2lkZWVzL2FydGljbGUvMjAyMy8wOC8wOS9leHBvcnRhdGlvbnMtZC1hcm1lbWVudC1sZXMtcG9saXRpcXVlcy1wdWJsaXF1ZXMtanVzcXUtaWNpLW1hcnF1ZWVzLXBhci1sZS1zY2VhdS1kdS1zZWNyZXQtZG9pdmVudC1hY2NlcHRlci11bi1jb250cm9sZS1leHRlcm5lLWFjY3J1XzYxODQ4NjZfMzIzMi5odG1s0gEA?oc=5,"Wed, 09 Aug 2023 03:00:13 GMT",politique
23,"Au Niger, l'incertitude politique pèse sur la stratégie migratoire de l ... - Le Monde",https://news.google.com/rss/articles/CBMikQFodHRwczovL3d3dy5sZW1vbmRlLmZyL2FmcmlxdWUvYXJ0aWNsZS8yMDIzLzA4LzA4L2F1LW5pZ2VyLWwtaW5jZXJ0aXR1ZGUtcG9saXRpcXVlLXBlc2Utc3VyLWxhLXBvbGl0aXF1ZS1taWdyYXRvaXJlLWRlLWwtZXVyb3BlXzYxODQ3NTNfMzIxMi5odG1s0gEA?oc=5,"Tue, 08 Aug 2023 03:30:07 GMT",politique
24,"[Série] Pouvoir et ballon rond, quand le football s'invite en politique - Jeune Afrique",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmpldW5lYWZyaXF1ZS5jb20vMTQ3MTIwMC9wb2xpdGlxdWUvc2VyaWUtcG91dm9pci1ldC1iYWxsb24tcm9uZC1xdWFuZC1sZS1mb290YmFsbC1zaW52aXRlLWVuLXBvbGl0aXF1ZS_SAQA?oc=5,"Mon, 07 Aug 2023 14:58:45 GMT",politique
25,Piscines privées : «La politique du bouc émissaire n'est pas la ... - Libération,https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5saWJlcmF0aW9uLmZyL2xpZmVzdHlsZS9waXNjaW5lcy1wcml2ZWVzLWxhLXBvbGl0aXF1ZS1kdS1ib3VjLWVtaXNzYWlyZS1uZXN0LXBhcy1sYS1zb2x1dGlvbi0yMDIzMDgwOF9JRDVMM0xYQ01GRks3RUdQU1ZZTkJKUkRJQS_SAQA?oc=5,"Tue, 08 Aug 2023 18:28:00 GMT",politique
26,Une décision politique sévère fait très mal à Apple - iPhon.fr,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3LmlwaG9uLmZyL3Bvc3QvdW5lLWRlY2lzaW9uLXBvbGl0aXF1ZS1lbi1pbmRlLWZhaXQtdHJlcy1tYWwtYS1hcHBsZdIBUmh0dHBzOi8vd3d3LmlwaG9uLmZyL3Bvc3QvdW5lLWRlY2lzaW9uLXBvbGl0aXF1ZS1lbi1pbmRlLWZhaXQtdHJlcy1tYWwtYS1hcHBsZS9hbXA?oc=5,"Wed, 09 Aug 2023 08:30:17 GMT",politique
27,"Du mariage pour tous au complotisme, les combats politiques de ... - L'Opinion",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmxvcGluaW9uLmZyL3BvbGl0aXF1ZS9kdS1tYXJpYWdlLXBvdXItdG91cy1hdS1jb21wbG90aXNtZS1sZXMtY29tYmF0cy1wb2xpdGlxdWVzLWRlLWNpdml0YXPSAQA?oc=5,"Wed, 09 Aug 2023 15:53:44 GMT",politique
28,Hervé Mariton: «Pour une refonte de notre politique familiale» - Le Figaro,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LmxlZmlnYXJvLmZyL3ZveC9zb2NpZXRlL2hlcnZlLW1hcml0b24tcG91ci11bmUtcmVmb250ZS1kZS1ub3RyZS1wb2xpdGlxdWUtZmFtaWxpYWxlLTIwMjMwODA40gEA?oc=5,"Tue, 08 Aug 2023 13:31:40 GMT",politique
29,Sandrine Rousseau : attentat contre l'écologie politique - Politique Matin,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3LnBvbGl0aXF1ZW1hdGluLmZyL3NhbmRyaW5lLXJvdXNzZWF1LWF0dGVudGF0LWNvbnRyZS1lY29sb2dpZS1wb2xpdGlxdWUtZ292ZXJuYXRvcmnSAQA?oc=5,"Wed, 09 Aug 2023 13:29:00 GMT",politique
30,10 règles pour construire sa politique full-remote - Maddyness,https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3Lm1hZGR5bmVzcy5jb20vMjAyMy8wOC8wNy8xMC1yZWdsZXMtZnVsbC1yZW1vdGUv0gEA?oc=5,"Mon, 07 Aug 2023 13:04:48 GMT",politique
31,JMJ : “Le pape agite la classe politique” portugaise - Courrier international,https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmNvdXJyaWVyaW50ZXJuYXRpb25hbC5jb20vdW5lL3VuZS1kdS1qb3VyLWptai1sZS1wYXBlLWFnaXRlLWxhLWNsYXNzZS1wb2xpdGlxdWUtcG9ydHVnYWlzZdIBAA?oc=5,"Mon, 07 Aug 2023 15:18:44 GMT",politique
32,Politique commerciale européenne : à quoi faut-il s'attendre d'ici la ... - EURACTIV France,https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmV1cmFjdGl2LmZyL3NlY3Rpb24vZWNvbm9taWUvbmV3cy9wb2xpdGlxdWUtY29tbWVyY2lhbGUtZXVyb3BlZW5uZS1hLXF1b2ktZmF1dC1pbC1zYXR0ZW5kcmUtZGljaS1sYS1maW4tZGUtbGFubmVlL9IBAA?oc=5,"Tue, 08 Aug 2023 09:08:56 GMT",politique
33,"EDITO. En annonçant ""une initiative politique d'ampleur"", Emmanuel ... - franceinfo",https://news.google.com/rss/articles/CBMinQFodHRwczovL3d3dy5mcmFuY2V0dmluZm8uZnIvcmVwbGF5LXJhZGlvL2wtZWRpdG8tcG9saXRpcXVlL2VkaXRvLWVuLWFubm9uY2FudC11bmUtaW5pdGlhdGl2ZS1wb2xpdGlxdWUtZC1hbXBsZXVyLWVtbWFudWVsLW1hY3Jvbi1yZXByZW5kLWxhLW1haW5fNTk0ODAwOS5odG1s0gEA?oc=5,"Thu, 03 Aug 2023 07:19:29 GMT",politique
34,Soutenir AERI : espace de vie de quartier et d'organisation politique - Paris-luttes.info,https://news.google.com/rss/articles/CBMiPmh0dHBzOi8vcGFyaXMtbHV0dGVzLmluZm8vc291dGVuaXItYWVyaS1lc3BhY2UtZGUtdmllLWRlLTE3Mjgy0gEA?oc=5,"Wed, 09 Aug 2023 08:00:00 GMT",politique
35,Économie. Comment le commerce mondial est devenu de plus en ... - JSL - le Journal de Saone et Loire,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LmxlanNsLmNvbS9lY29ub21pZS8yMDIzLzA4LzA5L2NvbW1lbnQtbGUtY29tbWVyY2UtbW9uZGlhbC1lc3QtZGV2ZW51LWRlLXBsdXMtZW4tcGx1cy1wb2xpdGlxdWXSAW5odHRwczovL3d3dy5sZWpzbC5jb20vYW1wL2Vjb25vbWllLzIwMjMvMDgvMDkvY29tbWVudC1sZS1jb21tZXJjZS1tb25kaWFsLWVzdC1kZXZlbnUtZGUtcGx1cy1lbi1wbHVzLXBvbGl0aXF1ZQ?oc=5,"Wed, 09 Aug 2023 04:00:00 GMT",politique
36,Politique Thaïlande : le Pheu Thai créé de nouvelles alliances - Toute la Thaïlande,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vdG91dGVsYXRoYWlsYW5kZS5mci9uZXdzL3BvbGl0aXF1ZS10aGFpbGFuZGUtbGUtcGhldS10aGFpLWNyZWUtZGUtbm91dmVsbGVzLWFsbGlhbmNlcy_SAQA?oc=5,"Wed, 09 Aug 2023 09:29:43 GMT",politique
37,L'eurodéputée française Véronique Trillet-Lenoir est morte à l'âge ... - franceinfo,https://news.google.com/rss/articles/CBMif2h0dHBzOi8vd3d3LmZyYW5jZXR2aW5mby5mci9wb2xpdGlxdWUvbC1ldXJvZGVwdXRlZS1mcmFuY2Fpc2UtdmVyb25pcXVlLXRyaWxsZXQtbGVub2lyLWVzdC1tb3J0ZS1hLWwtYWdlLWRlLTY2LWFuc181OTk4MjE3Lmh0bWzSAQA?oc=5,"Wed, 09 Aug 2023 17:19:08 GMT",politique
38,Le spread Italie-Espagne intègre une prime de risque politique - L'Agefi,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LmFnZWZpLmZyL25ld3MvZWNvbm9taWUtbWFyY2hlcy9sZS1zcHJlYWQtaXRhbGllLWVzcGFnbmUtaW50ZWdyZS11bmUtcHJpbWUtZGUtcmlzcXVlLXBvbGl0aXF1ZdIBAA?oc=5,"Mon, 07 Aug 2023 18:31:42 GMT",politique
39,Sommet pour sauver l'Amazonie : la politique « anti-déforestation ... - Le HuffPost,https://news.google.com/rss/articles/CBMimQFodHRwczovL3d3dy5odWZmaW5ndG9ucG9zdC5mci9lbnZpcm9ubmVtZW50L2FydGljbGUvc29tbWV0LXBvdXItc2F1dmVyLWwtYW1hem9uaWUtbGEtcG9saXRpcXVlLWFudGktZGVmb3Jlc3RhdGlvbi1kZS1sdWxhLWVzdC1lbGxlLXN1ZmZpc2FudGVfMjIxNTYxLmh0bWzSAQA?oc=5,"Tue, 08 Aug 2023 15:47:07 GMT",politique
